,title,description,image
59,Rocky III,"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.",https://m.media-amazon.com/images/M/MV5BMTMyOTYzMDMzMF5BMl5BanBnXkFtZTcwMTkzODM1NA@@.jpg
67,Hot Rod,Self-proclaimed stuntman Rod Kimble is preparing for the jump of his life - to clear fifteen buses to raise money for his abusive stepfather Frank's life-saving heart operation.,https://m.media-amazon.com/images/M/MV5BNjYwNjA3OTY0Nl5BMl5BanBnXkFtZTcwNDMyNDUzMw@@.jpg
68,The Cutting Edge,A temperamental figure skater and a former hockey player try to win Olympic gold as a figure skating pairs team.,https://m.media-amazon.com/images/M/MV5BMGUzNTExM2YtMzU3MC00MjY0LTkzODEtNzM4OWYwYzY3ZDg2XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg
69,The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",https://m.media-amazon.com/images/M/MV5BMTc5MjYyOTg4MF5BMl5BanBnXkFtZTcwNDc2MzQwMg@@.jpg
70,Little Giants,"Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother.",https://m.media-amazon.com/images/M/MV5BNTBlNGFmNTktZGJlZi00ZWNkLWI0MGItNjhhNjQyNWM1MmVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
76,Rocky Balboa,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",https://m.media-amazon.com/images/M/MV5BNWIyNmQyNjctYmVmMS00MGI4LWIxMmUtNjA0ODYzOTA0Yjk0L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
77,D2: The Mighty Ducks,Can Gordon's team win the Junior Goodwill Games in California in spite of all the set-backs?,https://m.media-amazon.com/images/M/MV5BMjA1YjVjZWQtZTNkYS00NTA2LThhODUtZTI1MzIwMWRjNWMzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg
79,Rocky V,"Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.",https://m.media-amazon.com/images/M/MV5BMTM2Mzc4MTYxM15BMl5BanBnXkFtZTcwODY5NTk1NA@@.jpg
80,Rookie of the Year,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",https://m.media-amazon.com/images/M/MV5BZGJhODAwNDQtNGY0My00ZDA4LTgwOTMtMTA5NzdhZTQ0YmIwXkEyXkFqcGdeQXVyNTI4MjkwNjA@.jpg
81,Back to School,"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",https://m.media-amazon.com/images/M/MV5BYzczNDE0ZTQtMTg2Ny00Zjg3LTkyODktNzM3OTc1ODdlYzBmXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
82,Vision Quest,"A high school wrestler in Spokane, Washington has trouble focusing on his training regimen when a beautiful young drifter takes up temporary residence at his home.",https://m.media-amazon.com/images/M/MV5BNDQzODg0OTQ2MV5BMl5BanBnXkFtZTgwNjEyNjU1MDE@.jpg
86,Waves,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",https://m.media-amazon.com/images/M/MV5BMWE2OTdiY2MtM2ViNy00NmExLWIxZjYtYTVkNGJkNzgwYjVmXkEyXkFqcGdeQXVyNjgzMjQ0MTA@.jpg
87,Friday Night Lights,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",https://m.media-amazon.com/images/M/MV5BYTkxZDVhZGItZjM3Yi00YTU1LTk2ZDYtYTI4NTg2Mjc0NWY1XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
90,Bloodsport,"""Bloodsport"" follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",https://m.media-amazon.com/images/M/MV5BNTJmMGEzMTQtMzQzMi00YjE1LWI4MTctNjY0NWZiYzE2MDVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
91,Bend It Like Beckham,"Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional soccer.",https://m.media-amazon.com/images/M/MV5BMTg1Njk5NjczM15BMl5BanBnXkFtZTYwNjc2NTQ3.jpg
94,Rocky II,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.",https://m.media-amazon.com/images/M/MV5BNjk2Y2FiYWEtNGViNy00ZDNkLThhZGItMDI5YjQ5NGYxYWJmXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
95,Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",https://m.media-amazon.com/images/M/MV5BODEyYmQxZjUtZGQ0NS00ZTAwLTkwOGQtNGY2NzEwMWE0MDc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
97,Heavyweights,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",https://m.media-amazon.com/images/M/MV5BYjg4NWFhNjQtMWYzZi00Y2RiLWJlZmUtOWZkZTM5MmNkNTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg
100,The Game Plan,An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,https://m.media-amazon.com/images/M/MV5BMTQ0NjQzMzI1MF5BMl5BanBnXkFtZTYwNDI0ODA3.jpg
102,The Color of Money,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",https://m.media-amazon.com/images/M/MV5BNGY4NGEzY2QtZmIwYS00NzkwLWI0MmItZmVjYjU0YzM3ZjBmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg
104,Over the Top,Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.,https://m.media-amazon.com/images/M/MV5BZjFiZjYyOGUtNWQ4My00ZTcyLWJkYTMtOGMzZjZjOTE0MDE0XkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
105,Chariots of Fire,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.",https://m.media-amazon.com/images/M/MV5BZjNlNDFmM2ItMDE0Zi00MWNiLTljOWQtZGQ1YTQ2ZWUzZDU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
106,42,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",https://m.media-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@.jpg
108,Hardball,A gambling addict and ticket scalper living an aimless life reluctantly agrees to coach a Little League team from the Chicago projects as part of a loan agreement.,https://m.media-amazon.com/images/M/MV5BMjY3Nzk0NzkxMF5BMl5BanBnXkFtZTgwMTYxNzYxMTE@.jpg
109,The Swimmers,A story of the miraculous journey made by swimming sisters Yusra and Sarah Mardini who fled as refugees from war-torn Syria all the way to the 2016 Rio Olympics.,https://m.media-amazon.com/images/M/MV5BOGZmMWM1NTItYzBhYi00YjEzLWI3OTQtNWM4ZDhjMDkxYWEwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3.jpg
