,title,description,image
50,The Babadook,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",https://m.media-amazon.com/images/M/MV5BMTk0NzMzODc2NF5BMl5BanBnXkFtZTgwOTYzNTM1MzE@.jpg
51,Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@.jpg
53,The Ring,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",https://m.media-amazon.com/images/M/MV5BNTg3NjcxYzgtYjljNC00Y2I2LWE3YmMtOTliZTkwYTE1MmZiXkEyXkFqcGdeQXVyNTY4NDc5MDE@.jpg
54,Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,https://m.media-amazon.com/images/M/MV5BZTliNWJhM2YtNDc1MC00YTk1LWE2MGYtZmE4M2Y5ODdlNzQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@.jpg
55,Orphan,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,https://m.media-amazon.com/images/M/MV5BMTBjMjY0ODEtZGVkMy00MjUyLTlkMjAtNDBmNzVjOTk0NzQyXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
57,Killers of the Flower Moon,Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.,https://m.media-amazon.com/images/M/MV5BYmE1ZmYwODEtNzBiZS00NTFjLWJlNjgtY2I5YzA3MDNlZDU2XkEyXkFqcGdeQXVyMTA2NjMxNTQ0.jpg
58,The Blair Witch Project,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
62,Harry Potter and the Chamber of Secrets,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0.jpg
67,Soft & Quiet,"Playing out in real time, an elementary school teacher organizes a mixer of like-minded women, when she encounters a woman from her past, leading to a volatile chain of events.",https://m.media-amazon.com/images/M/MV5BYTQ4MDVmODUtZDA5ZC00ZDE5LTgwN2ItOTQ5YzBlOTcwMTRhXkEyXkFqcGdeQXVyMjY5ODI4NDk@.jpg
68,Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@.jpg
69,Significant Other,Follows a young couple who take a remote backpacking trip through the Pacific Northwest and face sinister events leading them to realize that everything about the place is not as it seems.,https://m.media-amazon.com/images/M/MV5BYzFkMGU5NTYtYzMyNC00NmI5LWE1ZmMtNzVlY2QzNjVkMmU1XkEyXkFqcGdeQXVyNjYzMzU4OTg@.jpg
72,Fast X,Plot unknown.,https://m.media-amazon.com/images/M/MV5BYWY2Yzg4OTktYzIzMS00MGM4LWJiZmEtN2I0ZTg4NjYxYzY5XkEyXkFqcGdeQXVyMTM1MTE1NDMx.jpg
75,Friday the 13th,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.",https://m.media-amazon.com/images/M/MV5BNWMxYTYzYWQtNGZmNy00MTg5LTk1N2MtNzQ5NjQxYjQ5NTJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
77,Silent Hill,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",https://m.media-amazon.com/images/M/MV5BOWQzNTU3NGUtNDAxMi00ZjFjLTkyYWUtYjgwZDJiMDljZWY4XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
