,title,description,image
86,Two Mules for Sister Sara,"Nun Sara (Shirley MacLaine) is on the run in Mexico and is saved from cowboys by Hogan (Clint Eastwood), who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him the true reason behind her being outlawed.",https://m.media-amazon.com/images/M/MV5BMGZiMzQyZjgtZTE0NC00MGQ0LWExZGMtMWUxZGU1OTVmMTg5XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
88,Dead Man,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",https://m.media-amazon.com/images/M/MV5BNjZiMDUyYmEtNzAwYy00YjNiLWEyODItNTJmMjZjOWQ3MThlXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
92,The Legend of Zorro,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",https://m.media-amazon.com/images/M/MV5BZTE1MjVmYTYtOGFjZi00NGM3LTg0ZTEtNWI4MGI3NmM1MTVhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
97,The Misfits,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",https://m.media-amazon.com/images/M/MV5BMTQzNDYzMDItNWZhYy00NmVhLTkwNTMtMGYwYzY5MGY3NTg5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg
104,Valdez Is Coming,A Mexican-American sheriff must resort to violence against a powerful rancher in order to get just compensation for the pregnant Indian widow of a wrongly killed black man.,https://m.media-amazon.com/images/M/MV5BMmUxNjI1N2EtYWE5Yy00Mjg2LTliNzktMDNlYzk2NDJjNTRkXkEyXkFqcGdeQXVyMjI4MjA5MzA@.jpg
105,Almost Heroes,Two bumbling explorers hope to beat Lewis & Clarke to the Pacific Ocean as they race across America's western frontier in the early 1800's.,https://m.media-amazon.com/images/M/MV5BY2IyNTI2YzktNzUwMy00ZTMyLTkyYjItMzk1OTE3NjkxMTk1XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg
109,The Great Race,"In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",https://m.media-amazon.com/images/M/MV5BMjg5MDU1ZjUtZjQ2ZS00MTg2LTljMzEtMjVjNDgzNjI5MmQ5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
113,El Dorado,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@.jpg
116,Seven Brides for Seven Brothers,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",https://m.media-amazon.com/images/M/MV5BMmNkYWU3NzktMmRhMS00Y2E4LTkxYjgtNGQzYzYzMDQyMWMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg
117,Hostile Territory,"In post-civil war America, when a Union soldier is presumed dead, his children are mistakenly sent away on the orphan train. This is a wild-west story of people uniting for the greater good, and children forced to grow up quickly.",https://m.media-amazon.com/images/M/MV5BN2QwMWM0YTgtYzA5Yy00NmM2LTk0MTMtNzI0YTkzMjUyNWI2XkEyXkFqcGdeQXVyMzA3MDIyOA@@.jpg
118,The Last Stand,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.",https://m.media-amazon.com/images/M/MV5BODc4NjI0OTYwNl5BMl5BanBnXkFtZTcwOTYwODQ3OA@@.jpg
119,Jeremiah Johnson,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe and proves to be a match for their warriors in single combat on the early frontier.,https://m.media-amazon.com/images/M/MV5BYzE0NWI0ZDctYjkwNi00YTM3LWI4MjYtZGRlN2JiMjZmYzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
123,The Last Hard Men,"In 1909 Arizona, retired lawman Sam Burgade's life is thrown upside-down when his old enemy Zach Provo and six other convicts escape a chain-gang in the Yuma Territorial Prison and come gunning for Burgade.",https://m.media-amazon.com/images/M/MV5BZjhhZjcwODUtZmNhMS00MTE0LWIyNTQtMWU4MjNlN2M3NzNlXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
126,Stagecoach,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,https://m.media-amazon.com/images/M/MV5BOGQ4NDUyNWQtZTEyOC00OTMzLWFhYjAtNDNmYmQ2MWQyMTRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
127,Alvarez Kelly,"During the Civil War, Mexican cattleman Alvarez Kelly supplies the Union with cattle until Confederate Colonel Tom Rossiter's hungry men force Kelly to change his customers.",https://m.media-amazon.com/images/M/MV5BOTUzY2FhZjUtMjBmMi00NmE4LTllMjQtMWVkOTI5NThiMGVkXkEyXkFqcGdeQXVyMzU4Nzk4MDI@.jpg
128,Quigley Down Under,"Sharpshooter Matt Quigley is hired from Wyoming by an Australian rancher paying a very high price. But when Quigley arrives Down Under, all is not as it seems.",https://m.media-amazon.com/images/M/MV5BMGZlMzMxNDUtMzE2ZC00ODBkLThjMmMtZWZkMGE4ZGM4YTIwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@.jpg
131,Ned Kelly,An innocent man becomes one of the most wanted criminals the world has ever known.,https://m.media-amazon.com/images/M/MV5BYmVjYzRkYjItODlmZS00OTEzLTliZjItYjMwOGRmMzhmY2RmXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
132,Ulzana's Raid,"After fierce war chief Ulzana and a small war party jump the reservation bent on murder and terror, an inexperienced young lieutenant is assigned to track him down.",https://m.media-amazon.com/images/M/MV5BNDk4ZDIzMGUtZmU5YS00ZmI3LTllZGEtMTE3ZGM0YmE0ZjA3XkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
